Record ID,Car Name,Problem Classification,Problem Description,Severity,Diagnosis,How to Fix the Problem,Solution Used,ECU Data,Service History,Repair Status,Results
5364,Chevrolet Camaro 2016,Engine,Smoke from exhaust,Medium,Spark plug wear,Replace fuel pump,Replaced wear,P0101,Brake service 1 year ago,Fixed,Resolved
5365,Toyota Sienna 2023,Transmission,Delayed shifting,Medium,Transmission wear,Replace solenoid pack,Replaced wear,None,Coolant flush last year,Fixed,Resolved
5366,Honda Passport 2020,Battery,Battery drains fast,Medium,Dead battery,Test charging system,Test charging system,None,Transmission service 2 years ago,Fixed,Resolved
5367,Nissan Pathfinder 2016,Transmission,Delayed shifting,High,Clutch pack wear,Replace solenoid pack,Replaced wear,P0100,Coolant flush last year,Fixed,Resolved
5368,Mercedes G-Class 2022,Transmission,Gear shift hard,Medium,Clutch pack wear,Replace transmission fluid,Replaced wear,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
5369,Mercedes E-Class 2021,Brakes,Vibration when braking,High,Worn master cylinder,Resurface or replace rotors,Replaced cylinder,None,Battery replaced 1 year ago,Fixed,Resolved
5370,Hyundai Accent 2018,Electrical,Dashboard flickering,Low,Dead battery,Replace battery and test charging system,Repair in progress,P0300,Coolant flush last year,In Progress,Monitoring
5371,Hyundai Accent 2022,Engine,Smoke from exhaust,Medium,Catalytic converter issue,Replace fuel pump,Replaced issue,Multiple codes,Coolant flush last year,Fixed,Resolved
5372,Mercedes GLE 2019,Battery,Clicking sound when starting,Medium,Charging system fault,Replace starter motor,Replaced fault,None,Oil changed 6 months ago,Fixed,Resolved
5373,Kia Soul 2016,Engine,Engine overheating,Medium,Timing belt failure,Replace spark plugs,Replaced failure,None,Regular maintenance,Fixed,Resolved
5374,Kia Stinger 2017,Brakes,Soft brake pedal,High,Warped rotors,Resurface or replace rotors,Replaced rotors,None,Coolant flush last year,Fixed,Resolved
5375,BMW i4 2017,Engine,Check engine light on,Medium,Fuel pump issue,Replace spark plugs,Replaced issue,None,Spark plugs replaced 2 years ago,Fixed,Resolved
5376,Hyundai Venue 2015,Brakes,Soft brake pedal,High,Worn brake pads,Resurface or replace rotors,Replaced pads,None,Battery replaced 1 year ago,Fixed,Resolved
5377,Kia Niro 2018,Battery,Battery drains fast,Low,Faulty alternator,Replace alternator and test battery condition,Replaced alternator,Multiple codes,Brake service 1 year ago,Fixed,Resolved
5378,Ford Edge 2019,Battery,Clicking sound when starting,Medium,Faulty alternator,Replace alternator and test battery condition,Replaced alternator,P0301,Spark plugs replaced 2 years ago,Fixed,Resolved
5379,Chevrolet Tahoe 2022,Battery,Battery warning light,High,Dead battery,Replace battery and test charging system,Replaced battery,None,Regular maintenance,Fixed,Resolved
5380,Toyota Camry 2018,Electrical,Car wont start,Low,Dead battery,Replace battery and test charging system,Replaced battery,Multiple codes,None,Fixed,Resolved
5381,Mercedes GLA 2019,Transmission,Transmission overheating,High,Clutch pack wear,Perform transmission service and inspect for internal damage,Perform transmission service,P0100,Battery replaced 1 year ago,Fixed,Resolved
5382,Kia Sportage 2017,Battery,Clicking sound when starting,Low,Faulty alternator,Replace starter motor,Replaced alternator,None,Oil changed 6 months ago,Fixed,Resolved
5383,Honda Odyssey 2018,Transmission,Slipping gears,Medium,Transmission solenoid,Replace transmission fluid,Repair in progress,P0100,Regular maintenance,In Progress,Monitoring
5384,BMW X7 2021,Engine,Smoke from exhaust,High,Ignition coil failure,Replace spark plugs,Replaced failure,None,None,Fixed,Resolved
5385,Toyota Prius 2015,Engine,Smoke from exhaust,High,Timing belt failure,Replace spark plugs,Replaced failure,Multiple codes,Brake service 1 year ago,Fixed,Resolved
5386,Mercedes GLA 2019,Battery,Car wont start,High,Charging system fault,Replace starter motor,Replaced fault,None,Regular maintenance,Fixed,Resolved
5387,Chevrolet Trailblazer 2016,Transmission,Slipping gears,High,Transmission fluid thick,Replace clutch packs,Replaced thick,None,Battery replaced 1 year ago,Fixed,Resolved
5388,Honda Civic 2018,Brakes,Brake noise,Medium,Worn master cylinder,Replace brake pads and rotors,Replaced cylinder,Multiple codes,Spark plugs replaced 2 years ago,Fixed,Resolved
5389,Nissan Versa 2023,Electrical,Headlights flicker,Low,Window regulator motor,Replace battery and test charging system,Replaced motor,Multiple codes,Oil changed 6 months ago,Fixed,Resolved
5390,Mercedes GLA 2015,Electrical,Power window failure,Low,Faulty alternator,Replace regulator motor,Pending replace regulator motor,None,Coolant flush last year,Not Fixed,Unresolved
5391,Kia Sportage 2016,Electrical,Dashboard flickering,Medium,Window regulator motor,Replace regulator motor,Replaced motor,Multiple codes,Coolant flush last year,Fixed,Resolved
5392,Kia Telluride 2020,Battery,Clicking sound when starting,Medium,Faulty alternator,Replace battery and test charging system,Replaced alternator,P0420,Coolant flush last year,Fixed,Resolved
5393,BMW 3 Series 2020,Battery,Clicking sound when starting,Medium,Starter motor failure,Replace starter motor,Replaced failure,Multiple codes,Regular maintenance,Fixed,Resolved
5394,Kia Forte 2016,Engine,Engine misfire,Medium,Catalytic converter issue,Replace faulty ignition coil and spark plugs,Replaced issue,P0430,None,Fixed,Resolved
5395,BMW 5 Series 2018,Brakes,Brake pedal hard,High,Worn brake pads,Replace brake pads and resurface rotors,Replaced pads,None,None,Fixed,Resolved
5396,Nissan Versa 2022,Battery,Battery warning light,Low,Starter motor failure,Replace alternator and test battery condition,Replaced failure,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
5397,Nissan Frontier 2019,Electrical,Battery drains fast,Medium,Faulty alternator,Replace battery and test charging system,Pending replace battery,P0400,Oil changed 6 months ago,Not Fixed,Unresolved
5398,Ford Maverick 2015,Transmission,Gear shift hard,High,Transmission fluid thick,Perform transmission service and inspect for internal damage,Perform transmission service,P0010,Spark plugs replaced 2 years ago,Fixed,Resolved
5399,Chevrolet Spark 2017,Battery,Battery drains fast,Low,Charging system fault,Replace battery and test charging system,Replaced fault,P0010,Transmission service 2 years ago,Fixed,Resolved
5400,Mercedes GLB 2017,Electrical,Battery drains fast,Medium,Window regulator motor,Secure and repair connections,Pending secure and repair connections,Multiple codes,Coolant flush last year,Not Fixed,Unresolved
5401,BMW 7 Series 2017,Engine,Engine overheating,Medium,Timing belt failure,Replace timing belt,Replaced failure,Multiple codes,Brake service 1 year ago,Fixed,Resolved
5402,Toyota Prius 2021,Electrical,Car wont start,Low,Loose wiring,Secure and repair connections,Secure and repair connections,Multiple codes,Oil changed 6 months ago,Fixed,Resolved
5403,Hyundai Sonata 2023,Electrical,Headlights flicker,Medium,Dead battery,Secure and repair connections,Pending secure and repair connections,None,Spark plugs replaced 2 years ago,Not Fixed,Unresolved
5404,Hyundai Veloster 2018,Brakes,Squealing brakes,High,Worn pads,Replace brake pads and resurface rotors,Pending replace brake pads,P0011,Spark plugs replaced 2 years ago,Not Fixed,Unresolved
5405,Nissan Armada 2020,Engine,Engine misfire,High,Fuel pump issue,Replace the catalytic converter with a new OEM part,Replaced issue,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
5406,Mercedes A-Class 2017,Engine,Engine misfire,High,Fuel pump issue,Replace timing belt,Replaced issue,None,None,Fixed,Resolved
5407,Hyundai Sonata 2018,Engine,Engine overheating,High,Catalytic converter issue,Replace fuel pump,Replaced issue,Multiple codes,Brake service 1 year ago,Fixed,Resolved
5408,Toyota C-HR 2021,Engine,Check engine light on,Medium,Fuel pump issue,Replace timing belt,Pending replace timing belt,Multiple codes,Transmission service 2 years ago,Not Fixed,Unresolved
5409,Mercedes GLA 2020,Transmission,Transmission overheating,High,Transmission fluid thick,Refill transmission fluid,Refill transmission fluid,P0100,Battery replaced 1 year ago,Fixed,Resolved
5410,Mercedes A-Class 2022,Transmission,Gear shift hard,High,Transmission solenoid,Replace transmission fluid,Replaced solenoid,Multiple codes,Oil changed 6 months ago,Fixed,Resolved
5411,BMW 7 Series 2015,Engine,Engine stalling,High,Ignition coil failure,Replace faulty ignition coil and spark plugs,Replaced failure,Multiple codes,Spark plugs replaced 2 years ago,Fixed,Resolved
5412,Hyundai Nexo 2019,Electrical,Headlights flicker,Medium,Loose wiring,Check and repair loose or damaged wiring connections,Check and repair wiring,Multiple codes,Coolant flush last year,Fixed,Resolved
5413,Chevrolet Blazer 2016,Transmission,Transmission overheating,Medium,Clutch pack wear,Replace solenoid pack,Replaced wear,None,None,Fixed,Resolved
5414,Chevrolet Camaro 2022,Brakes,Soft brake pedal,Medium,Warped rotors,Replace brake pads and resurface rotors,Replaced rotors,None,Transmission service 2 years ago,Fixed,Resolved
5415,Chevrolet Blazer 2021,Electrical,Car wont start,Medium,Loose wiring,Secure and repair connections,Repair in progress,P0302,Coolant flush last year,In Progress,Monitoring
5416,Chevrolet Traverse 2018,Transmission,Delayed shifting,Medium,Transmission solenoid,Replace solenoid pack,Replaced solenoid,P0500,Coolant flush last year,Fixed,Resolved
5417,Kia Niro 2017,Brakes,Soft brake pedal,High,Worn brake pads,Replace brake pads and rotors,Pending replace brake pads and rotors,P0430,Regular maintenance,Not Fixed,Unresolved
5418,Mercedes EQS 2022,Electrical,Dashboard flickering,Low,Loose wiring,Replace battery and test charging system,Replaced wiring,Multiple codes,Regular maintenance,Fixed,Resolved
5419,Hyundai Santa Fe 2023,Electrical,Car wont start,Low,Window regulator motor,Replace battery and test charging system,Replaced motor,None,Battery replaced 1 year ago,Fixed,Resolved
5420,Toyota Sienna 2021,Engine,Check engine light on,High,Spark plug wear,Replace spark plugs,Replaced wear,None,Battery replaced 1 year ago,Fixed,Resolved
5421,Mercedes E-Class 2023,Battery,Battery warning light,High,Charging system fault,Replace battery and test charging system,Replaced fault,Multiple codes,None,Fixed,Resolved
5422,BMW 5 Series 2023,Brakes,Squealing brakes,High,Warped rotors,Refill brake fluid,Pending refill brake fluid,Multiple codes,Oil changed 6 months ago,Not Fixed,Unresolved
5423,Mercedes GLE 2016,Transmission,Delayed shifting,Medium,Transmission fluid low,Replace transmission fluid,Replaced low,None,Coolant flush last year,Fixed,Resolved
5424,Honda Accord 2021,Battery,Battery warning light,Medium,Charging system fault,Replace battery and test charging system,Replaced fault,P0101,Oil changed 6 months ago,Fixed,Resolved
5425,Mercedes GLC 2016,Battery,Clicking sound when starting,Low,Charging system fault,Replace battery and test charging system,Replaced fault,Multiple codes,Oil changed 6 months ago,Fixed,Resolved
5426,Chevrolet Malibu 2022,Engine,Check engine light on,High,Timing belt failure,Replace faulty ignition coil and spark plugs,Replaced failure,P0302,Oil changed 6 months ago,Fixed,Resolved
5427,Ford Focus 2015,Electrical,Battery drains fast,Low,Window regulator motor,Replace regulator motor,Replaced motor,None,Coolant flush last year,Fixed,Resolved
5428,Hyundai Sonata 2016,Brakes,Squealing brakes,High,Worn master cylinder,Replace brake master cylinder and bleed brake system,Replaced cylinder,P0200,Brake service 1 year ago,Fixed,Resolved
5429,Honda Ridgeline 2021,Brakes,Brake pedal hard,High,Worn master cylinder,Resurface or replace rotors,Replaced cylinder,None,Coolant flush last year,Fixed,Resolved
5430,Kia Soul 2019,Transmission,Transmission overheating,High,Transmission fluid low,Perform transmission service and inspect for internal damage,Perform transmission service,None,Oil changed 6 months ago,Fixed,Resolved
5431,Hyundai Accent 2015,Battery,Battery warning light,Medium,Faulty alternator,Replace starter motor,Replaced alternator,P0101,None,Fixed,Resolved
5432,Hyundai Elantra 2022,Brakes,Brake noise,Medium,Low brake fluid,Replace brake master cylinder and bleed brake system,Replaced fluid,P0430,Oil changed 6 months ago,Fixed,Resolved
5433,Hyundai Sonata 2021,Battery,Car wont start,Low,Faulty alternator,Replace battery and test charging system,Replaced alternator,None,Transmission service 2 years ago,Fixed,Resolved
5434,Toyota Prius 2017,Engine,Smoke from exhaust,High,Fuel pump issue,Replace spark plugs,Replaced issue,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
5435,Mercedes S-Class 2015,Electrical,Headlights flicker,Medium,Loose wiring,Replace battery and test charging system,Replaced wiring,Multiple codes,None,Fixed,Resolved
5436,Honda Ridgeline 2015,Brakes,Soft brake pedal,Medium,Low brake fluid,Replace brake pads and resurface rotors,Replaced fluid,Multiple codes,Brake service 1 year ago,Fixed,Resolved
5437,Hyundai Kona 2019,Transmission,Gear grinding,High,Clutch pack wear,Perform transmission service and inspect for internal damage,Perform transmission service,P0302,Oil changed 6 months ago,Fixed,Resolved
5438,Toyota Avalon 2018,Engine,Smoke from exhaust,High,Ignition coil failure,Replace spark plugs,Replaced failure,P0500,Regular maintenance,Fixed,Resolved
5439,Mercedes S-Class 2017,Transmission,Delayed shifting,High,Transmission fluid thick,Replace transmission fluid,Replaced thick,P0101,Brake service 1 year ago,Fixed,Resolved
5440,Chevrolet Tahoe 2022,Electrical,Battery drains fast,Medium,Window regulator motor,Replace battery and test charging system,Replaced motor,Multiple codes,Brake service 1 year ago,Fixed,Resolved
5441,Ford Edge 2018,Transmission,Gear grinding,Medium,Transmission fluid low,Refill transmission fluid,Refill transmission fluid,P0302,Spark plugs replaced 2 years ago,Fixed,Resolved
5442,Toyota Highlander 2018,Battery,Clicking sound when starting,Low,Charging system fault,Replace battery and test charging system,Replaced fault,None,Coolant flush last year,Fixed,Resolved
5443,BMW 4 Series 2020,Electrical,Headlights flicker,Low,Loose wiring,Check and repair loose or damaged wiring connections,Check and repair wiring,Multiple codes,Oil changed 6 months ago,Fixed,Resolved
5444,Toyota Camry 2019,Engine,Engine misfire,Medium,Ignition coil failure,Replace spark plugs,Replaced failure,None,Brake service 1 year ago,Fixed,Resolved
5445,Mercedes GLB 2018,Battery,Clicking sound when starting,High,Starter motor failure,Replace alternator and test battery condition,Replaced failure,None,Oil changed 6 months ago,Fixed,Resolved
5446,Kia Stinger 2018,Battery,Battery drains fast,Medium,Charging system fault,Test charging system,Test charging system,Multiple codes,Brake service 1 year ago,Fixed,Resolved
5447,Kia Niro 2021,Battery,Clicking sound when starting,High,Dead battery,Test charging system,Test charging system,Multiple codes,Regular maintenance,Fixed,Resolved
5448,Hyundai Kona 2020,Transmission,Slipping gears,High,Transmission fluid low,Replace clutch packs,Replaced low,None,Battery replaced 1 year ago,Fixed,Resolved
5449,Hyundai Santa Fe 2023,Electrical,Dashboard flickering,Low,Window regulator motor,Replace regulator motor,Replaced motor,None,Spark plugs replaced 2 years ago,Fixed,Resolved
5450,Nissan Pathfinder 2018,Transmission,Slipping gears,Medium,Clutch pack wear,Perform transmission service and inspect for internal damage,Perform transmission service,P0011,Transmission service 2 years ago,Fixed,Resolved
5451,Honda Fit 2023,Electrical,Battery drains fast,Low,Window regulator motor,Replace battery and test charging system,Replaced motor,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
5452,Honda Accord 2019,Engine,Smoke from exhaust,High,Spark plug wear,Replace spark plugs,Repair in progress,P0301,Regular maintenance,In Progress,Monitoring
5453,Nissan Armada 2019,Battery,Car wont start,Low,Charging system fault,Replace starter motor,Replaced fault,None,Brake service 1 year ago,Fixed,Resolved
5454,Chevrolet Tahoe 2020,Brakes,Squealing brakes,High,Warped rotors,Replace brake pads and resurface rotors,Replaced rotors,Multiple codes,Coolant flush last year,Fixed,Resolved
5455,Kia Sorento 2020,Battery,Battery drains fast,Medium,Faulty alternator,Replace alternator and test battery condition,Replaced alternator,P0420,Battery replaced 1 year ago,Fixed,Resolved
5456,Toyota Sienna 2021,Brakes,Soft brake pedal,High,Worn brake pads,Refill brake fluid,Refill brake fluid,Multiple codes,Brake service 1 year ago,Fixed,Resolved
5457,Hyundai Kona 2016,Transmission,Delayed shifting,Medium,Transmission solenoid,Replace clutch packs,Replaced solenoid,Multiple codes,Brake service 1 year ago,Fixed,Resolved
5458,Ford Edge 2017,Battery,Car wont start,Low,Starter motor failure,Replace alternator and test battery condition,Pending replace alternator,P0101,Oil changed 6 months ago,Not Fixed,Unresolved
5459,Toyota Avalon 2018,Engine,Check engine light on,High,Timing belt failure,Replace fuel pump,Replaced failure,P0500,Transmission service 2 years ago,Fixed,Resolved
5460,Mercedes GLA 2023,Brakes,Squealing brakes,High,Worn pads,Replace brake master cylinder and bleed brake system,Replaced pads,None,Regular maintenance,Fixed,Resolved
5461,Hyundai Kona 2016,Battery,Battery drains fast,Low,Charging system fault,Test charging system,Pending test charging system,None,Battery replaced 1 year ago,Not Fixed,Unresolved
5462,Toyota Corolla 2020,Electrical,Power window failure,Medium,Window regulator motor,Replace battery and test charging system,Replaced motor,P0010,Transmission service 2 years ago,Fixed,Resolved
5463,Honda Insight 2019,Battery,Clicking sound when starting,High,Dead battery,Replace battery and test charging system,Pending replace battery,None,Spark plugs replaced 2 years ago,Not Fixed,Unresolved
5464,Hyundai Santa Fe 2017,Brakes,Brake noise,Medium,Worn master cylinder,Replace brake pads and rotors,Replaced cylinder,None,Coolant flush last year,Fixed,Resolved
5465,Chevrolet Traverse 2015,Battery,Car wont start,High,Dead battery,Replace alternator and test battery condition,Replaced battery,P0430,Brake service 1 year ago,Fixed,Resolved
5466,Mercedes EQS 2016,Engine,Check engine light on,High,Spark plug wear,Replace fuel pump,Pending replace fuel pump,P0200,None,Not Fixed,Unresolved
5467,Ford Bronco 2020,Transmission,Transmission overheating,Medium,Clutch pack wear,Replace solenoid pack,Pending replace solenoid pack,None,Regular maintenance,Not Fixed,Unresolved
5468,Kia Sportage 2023,Engine,Check engine light on,Medium,Fuel pump issue,Replace timing belt,Replaced issue,P0010,Oil changed 6 months ago,Fixed,Resolved
5469,Kia Carnival 2015,Electrical,Battery drains fast,Low,Faulty alternator,Check and repair loose or damaged wiring connections,Check and repair wiring,P0301,Oil changed 6 months ago,Fixed,Resolved
5470,Mercedes GLC 2018,Transmission,Transmission overheating,Medium,Clutch pack wear,Replace transmission fluid,Replaced wear,P0400,Spark plugs replaced 2 years ago,Fixed,Resolved
5471,Honda Ridgeline 2021,Transmission,Transmission overheating,High,Transmission fluid thick,Perform transmission service and inspect for internal damage,Repair in progress,None,Brake service 1 year ago,In Progress,Monitoring
5472,Nissan Altima 2020,Battery,Battery drains fast,High,Charging system fault,Replace battery and test charging system,Replaced fault,P0100,Oil changed 6 months ago,Fixed,Resolved
5473,Kia Forte 2021,Transmission,Slipping gears,High,Transmission solenoid,Perform transmission service and inspect for internal damage,Perform transmission service,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
5474,Kia Carnival 2016,Brakes,Squealing brakes,Medium,Warped rotors,Resurface or replace rotors,Replaced rotors,P0500,Transmission service 2 years ago,Fixed,Resolved
5475,BMW 3 Series 2015,Battery,Battery warning light,Low,Starter motor failure,Test charging system,Test charging system,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
5476,Chevrolet Blazer 2020,Brakes,Brake pedal hard,High,Worn master cylinder,Refill brake fluid,Refill brake fluid,P0400,Spark plugs replaced 2 years ago,Fixed,Resolved
5477,BMW X6 2020,Electrical,Headlights flicker,Medium,Faulty alternator,Replace regulator motor,Replaced alternator,None,Brake service 1 year ago,Fixed,Resolved
5478,Chevrolet Colorado 2016,Battery,Battery drains fast,High,Faulty alternator,Test charging system,Test charging system,Multiple codes,Spark plugs replaced 2 years ago,Fixed,Resolved
5479,Kia Carnival 2019,Electrical,Headlights flicker,Low,Dead battery,Replace regulator motor,Replaced battery,Multiple codes,None,Fixed,Resolved
5480,Chevrolet Traverse 2016,Brakes,Brake pedal hard,High,Warped rotors,Refill brake fluid,Refill brake fluid,None,Battery replaced 1 year ago,Fixed,Resolved
5481,Nissan Rogue 2017,Engine,Engine overheating,High,Timing belt failure,Replace spark plugs,Replaced failure,P0301,Spark plugs replaced 2 years ago,Fixed,Resolved
5482,Chevrolet Colorado 2018,Brakes,Squealing brakes,High,Warped rotors,Replace brake master cylinder and bleed brake system,Replaced rotors,None,Oil changed 6 months ago,Fixed,Resolved
5483,Chevrolet Silverado 2019,Electrical,Dashboard flickering,Medium,Wiring issue,Secure and repair connections,Secure and repair connections,Multiple codes,Oil changed 6 months ago,Fixed,Resolved
5484,Hyundai Veloster 2022,Battery,Battery drains fast,High,Charging system fault,Replace battery and test charging system,Pending replace battery,None,Brake service 1 year ago,Not Fixed,Unresolved
5485,Kia Carnival 2018,Brakes,Soft brake pedal,Medium,Worn brake pads,Resurface or replace rotors,Replaced pads,Multiple codes,Oil changed 6 months ago,Fixed,Resolved
5486,Ford Maverick 2017,Engine,Check engine light on,High,Ignition coil failure,Replace faulty ignition coil and spark plugs,Replaced failure,P0500,Coolant flush last year,Fixed,Resolved
5487,Hyundai Elantra 2023,Transmission,Gear grinding,Medium,Transmission solenoid,Replace transmission fluid,Replaced solenoid,None,Brake service 1 year ago,Fixed,Resolved
5488,Ford Bronco 2017,Electrical,Car wont start,Low,Window regulator motor,Replace battery and test charging system,Replaced motor,None,Oil changed 6 months ago,Fixed,Resolved
5489,Mercedes GLE 2016,Electrical,Power window failure,Medium,Wiring issue,Check and repair loose or damaged wiring connections,Check and repair wiring,None,Brake service 1 year ago,Fixed,Resolved
5490,Nissan Armada 2018,Brakes,Brake pedal hard,Medium,Worn brake pads,Replace brake master cylinder and bleed brake system,Replaced pads,P0430,Regular maintenance,Fixed,Resolved
5491,Hyundai Palisade 2021,Engine,Engine overheating,High,Fuel pump issue,Replace the catalytic converter with a new OEM part,Replaced issue,None,None,Fixed,Resolved
5492,Hyundai Santa Fe 2017,Electrical,Headlights flicker,Low,Wiring issue,Replace regulator motor,Replaced issue,Multiple codes,Coolant flush last year,Fixed,Resolved
5493,Mercedes EQS 2018,Electrical,Dashboard flickering,Medium,Wiring issue,Check and repair loose or damaged wiring connections,Repair in progress,Multiple codes,Regular maintenance,In Progress,Monitoring
5494,BMW X3 2018,Electrical,Headlights flicker,Medium,Dead battery,Replace alternator and test battery condition,Repair in progress,Multiple codes,Brake service 1 year ago,In Progress,Monitoring
5495,Honda Insight 2019,Transmission,Gear grinding,High,Transmission wear,Replace clutch packs,Pending replace clutch packs,P0101,Transmission service 2 years ago,Not Fixed,Unresolved
5496,Ford Edge 2018,Brakes,Brake noise,Medium,Worn pads,Replace brake pads and rotors,Replaced pads,None,Battery replaced 1 year ago,Fixed,Resolved
5497,Kia Niro 2019,Brakes,Soft brake pedal,High,Worn master cylinder,Replace brake pads and resurface rotors,Replaced cylinder,Multiple codes,Brake service 1 year ago,Fixed,Resolved
5498,Toyota C-HR 2016,Transmission,Delayed shifting,Medium,Transmission wear,Replace clutch packs,Pending replace clutch packs,P0010,Brake service 1 year ago,Not Fixed,Unresolved
5499,BMW i4 2017,Electrical,Battery drains fast,Low,Wiring issue,Check and repair loose or damaged wiring connections,Check and repair wiring,P0100,Oil changed 6 months ago,Fixed,Resolved
5500,Toyota Sienna 2021,Electrical,Dashboard flickering,Low,Wiring issue,Replace battery and test charging system,Replaced issue,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
5501,Honda Ridgeline 2022,Brakes,Soft brake pedal,Medium,Warped rotors,Resurface or replace rotors,Replaced rotors,P0500,Spark plugs replaced 2 years ago,Fixed,Resolved
5502,Mercedes GLB 2017,Battery,Battery warning light,Low,Faulty alternator,Replace battery and test charging system,Replaced alternator,P0420,Coolant flush last year,Fixed,Resolved
5503,Mercedes E-Class 2015,Engine,Engine overheating,High,Catalytic converter issue,Replace the catalytic converter with a new OEM part,Replaced issue,Multiple codes,Oil changed 6 months ago,Fixed,Resolved
5504,Ford Focus 2015,Brakes,Brake noise,High,Worn master cylinder,Replace brake master cylinder and bleed brake system,Replaced cylinder,None,Coolant flush last year,Fixed,Resolved
5505,Kia Forte 2023,Battery,Car wont start,Medium,Dead battery,Replace starter motor,Replaced battery,None,Coolant flush last year,Fixed,Resolved
5506,Nissan Leaf 2015,Transmission,Gear grinding,Medium,Clutch pack wear,Replace transmission fluid,Replaced wear,Multiple codes,Coolant flush last year,Fixed,Resolved
5507,Honda Passport 2015,Transmission,Slipping gears,Medium,Transmission wear,Replace transmission fluid,Replaced wear,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
5508,Mercedes GLB 2020,Electrical,Car wont start,Low,Loose wiring,Secure and repair connections,Secure and repair connections,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
5509,Honda Pilot 2018,Electrical,Battery drains fast,Medium,Window regulator motor,Check and repair loose or damaged wiring connections,Pending check and repair wiring,None,None,Not Fixed,Unresolved
5510,BMW 4 Series 2015,Engine,Engine misfire,High,Ignition coil failure,Replace faulty ignition coil and spark plugs,Replaced failure,None,Coolant flush last year,Fixed,Resolved
5511,Nissan Sentra 2022,Transmission,Gear grinding,High,Transmission fluid thick,Replace solenoid pack,Pending replace solenoid pack,Multiple codes,Brake service 1 year ago,Not Fixed,Unresolved
5512,Mercedes GLA 2015,Transmission,Gear grinding,Medium,Transmission solenoid,Perform transmission service and inspect for internal damage,Perform transmission service,P0300,Brake service 1 year ago,Fixed,Resolved
5513,Hyundai Nexo 2016,Battery,Battery drains fast,Low,Starter motor failure,Replace starter motor,Replaced failure,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
5514,Nissan Murano 2018,Electrical,Headlights flicker,Low,Wiring issue,Replace alternator and test battery condition,Replaced issue,None,Coolant flush last year,Fixed,Resolved
5515,Honda Ridgeline 2016,Transmission,Transmission overheating,High,Transmission fluid thick,Refill transmission fluid,Refill transmission fluid,None,Oil changed 6 months ago,Fixed,Resolved
5516,Mercedes C-Class 2019,Battery,Car wont start,High,Starter motor failure,Replace alternator and test battery condition,Replaced failure,None,Brake service 1 year ago,Fixed,Resolved
5517,Ford Maverick 2018,Battery,Battery warning light,High,Starter motor failure,Replace starter motor,Replaced failure,P0400,None,Fixed,Resolved
5518,Ford F-150 2023,Engine,Engine overheating,High,Ignition coil failure,Replace fuel pump,Replaced failure,Multiple codes,Oil changed 6 months ago,Fixed,Resolved
5519,Kia Sorento 2018,Electrical,Battery drains fast,Low,Dead battery,Replace alternator and test battery condition,Replaced battery,Multiple codes,Coolant flush last year,Fixed,Resolved
5520,Honda HR-V 2021,Engine,Engine misfire,Medium,Catalytic converter issue,Replace the catalytic converter with a new OEM part,Replaced issue,Multiple codes,Battery replaced 1 year ago,Fixed,Resolved
5521,Mercedes GLE 2019,Engine,Check engine light on,Medium,Timing belt failure,Replace timing belt,Replaced failure,Multiple codes,Spark plugs replaced 2 years ago,Fixed,Resolved
5522,Toyota Corolla 2015,Battery,Battery drains fast,High,Dead battery,Test charging system,Test charging system,Multiple codes,Spark plugs replaced 2 years ago,Fixed,Resolved
5523,Ford Explorer 2020,Transmission,Slipping gears,High,Transmission fluid low,Replace clutch packs,Replaced low,None,Regular maintenance,Fixed,Resolved
5524,Kia Forte 2023,Brakes,Brake pedal hard,High,Worn pads,Replace brake pads and resurface rotors,Replaced pads,Multiple codes,None,Fixed,Resolved
5525,Ford Edge 2018,Brakes,Brake noise,High,Warped rotors,Replace brake master cylinder and bleed brake system,Replaced rotors,None,None,Fixed,Resolved
5526,Ford Bronco 2022,Transmission,Gear grinding,High,Clutch pack wear,Replace clutch packs,Replaced wear,P0430,Transmission service 2 years ago,Fixed,Resolved
5527,Chevrolet Camaro 2016,Battery,Car wont start,Low,Faulty alternator,Test charging system,Test charging system,Multiple codes,Transmission service 2 years ago,Fixed,Resolved
5528,Ford Bronco 2023,Transmission,Gear grinding,High,Transmission solenoid,Refill transmission fluid,Pending refill transmission fluid,P0500,Transmission service 2 years ago,Not Fixed,Unresolved
5529,BMW i4 2017,Brakes,Vibration when braking,High,Low brake fluid,Resurface or replace rotors,Replaced fluid,None,Oil changed 6 months ago,Fixed,Resolved
5530,Kia Rio 2016,Transmission,Delayed shifting,High,Transmission wear,Replace transmission fluid,Replaced wear,None,Brake service 1 year ago,Fixed,Resolved
5531,Hyundai Sonata 2019,Battery,Clicking sound when starting,Low,Dead battery,Replace starter motor,Pending replace starter motor,Multiple codes,Oil changed 6 months ago,Not Fixed,Unresolved
